ID	Day	ID	Type	Sites	Sites2	Day2	Treatment	Treatment1	Treatment2	Treatment3	Treatment4	Type2	Type3	Group	Treatment_R1	Treatment_R2	Treatment_R3	Day_order
D7.09	07	D7-09	DNA	D7(1.0kPa-N)	D7(1.0kPa-N)	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	No_Urea_1.0kPa			2
D7.10	07	D7-10	DNA	D7(1.0kPa-N)	D7(1.0kPa-N)	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM		No_Urea_1.0kPa		2
D7.11	07	D7-11	DNA	D7(1.0kPa-N)	D7(1.0kPa-N)	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM			No_Urea_1.0kPa	2
D7.13	07	D7-13	DNA	D7(10kPa-N)	D7(10kPa-N)	7	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	No_Urea_10kPa			2
D7.14	07	D7-14	DNA	D7(10kPa-N)	D7(10kPa-N)	7	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM		No_Urea_10kPa		2
D7.15	07	D7-15	DNA	D7(10kPa-N)	D7(10kPa-N)	7	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM			No_Urea_10kPa	2
D14.02	14	D14-02	DNA	D14(1.0kPa+N)	D14(1.0kPa+N)	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	Urea_1.0kPa			3
D14.03	14	D14-03	DNA	D14(1.0kPa+N)	D14(1.0kPa+N)	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM		Urea_1.0kPa		3
D14.04	14	D14-04	DNA	D14(1.0kPa+N)	D14(1.0kPa+N)	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM			Urea_1.0kPa	3
D14.06	14	D14-06	DNA	D14(10kPa+N)	D14(10kPa+N)	14	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	Urea_10kPa			3
D14.07	14	D14-07	DNA	D14(10kPa+N)	D14(10kPa+N)	14	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM		Urea_10kPa		3
D14.08	14	D14-08	DNA	D14(10kPa+N)	D14(10kPa+N)	14	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM			Urea_10kPa	3
D21.01	21	D21-01	DNA	D21(1.0kPa+N)	D21(1.0kPa+N)	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	Urea_1.0kPa			4
D21.04	21	D21-04	DNA	D21(1.0kPa+N)	D21(1.0kPa+N)	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM		Urea_1.0kPa	Urea_1.0kPa	4
D21.08	21	D21-08	DNA	D21(10kPa+N)	D21(10kPa+N)	21	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	Urea_10kPa	Urea_10kPa	Urea_10kPa	4
D21.09	21	D21-09	DNA	D21(1.0kPa-N)	D21(1.0kPa-N)	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	No_Urea_1.0kPa			4
D21.10	21	D21-10	DNA	D21(1.0kPa-N)	D21(1.0kPa-N)	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM		No_Urea_1.0kPa		4
D21.11	21	D21-11	DNA	D21(1.0kPa-N)	D21(1.0kPa-N)	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM			No_Urea_1.0kPa	4
D21.16	21	D21-16	DNA	D21(10kPa-N)	D21(10kPa-N)	21	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	No_Urea_10kPa	No_Urea_10kPa	No_Urea_10kPa	4
D35.01	35	D35-01	DNA	D35(1.0kPa+N)	D35(1.0kPa+N)	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	Urea_1.0kPa			5
D35.02	35	D35-02	DNA	D35(1.0kPa+N)	D35(1.0kPa+N)	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM		Urea_1.0kPa		5
D35.03	35	D35-03	DNA	D35(1.0kPa+N)	D35(1.0kPa+N)	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM			Urea_1.0kPa	5
D35.05	35	D35-05	DNA	D35(10kPa+N)	D35(10kPa+N)	35	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	Urea_10kPa			5
D35.06	35	D35-06	DNA	D35(10kPa+N)	D35(10kPa+N)	35	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM		Urea_10kPa		5
D35.07	35	D35-07	DNA	D35(10kPa+N)	D35(10kPa+N)	35	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM			Urea_10kPa	5
D63.01	63	D63-01	DNA	D63(1.0kPa+N)	D63(1.0kPa+N)	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	Urea_1.0kPa			6
D63.02	63	D63-02	DNA	D63(1.0kPa+N)	D63(1.0kPa+N)	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM		Urea_1.0kPa		6
D63.03	63	D63-03	DNA	D63(1.0kPa+N)	D63(1.0kPa+N)	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM			Urea_1.0kPa	6
D63.05	63	D63-05	DNA	D63(10kPa+N)	D63(10kPa+N)	63	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	Urea_10kPa			6
D63.06	63	D63-06	DNA	D63(10kPa+N)	D63(10kPa+N)	63	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM		Urea_10kPa		6
D63.07	63	D63-07	DNA	D63(10kPa+N)	D63(10kPa+N)	63	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM			Urea_10kPa	6
D63.09	63	D63-09	DNA	D63(1.0kPa-N)	D63(1.0kPa-N)	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	No_Urea_1.0kPa			6
D63.10	63	D63-10	DNA	D63(1.0kPa-N)	D63(1.0kPa-N)	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM		No_Urea_1.0kPa		6
D63.11	63	D63-11	DNA	D63(1.0kPa-N)	D63(1.0kPa-N)	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM			No_Urea_1.0kPa	6
D63.13	63	D63-13	DNA	D63(10kPa-N)	D63(10kPa-N)	63	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	No_Urea_10kPa			6
D63.14	63	D63-14	DNA	D63(10kPa-N)	D63(10kPa-N)	63	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM		No_Urea_10kPa		6
D63.15	63	D63-15	DNA	D63(10kPa-N)	D63(10kPa-N)	63	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM			No_Urea_10kPa	6
